travel_mode,travel_time_number,age,individual_travel_frequency,household_vehicles,household_size
1,1098.124,46,32,2,4
1,390.734,53,16,1,2
1,4100,43,12,2,3
1,1483,65,20,2,2
1,1522,49,15,1,4
1,3326,60,24,2,4
1,120,37,17,1,1
1,232,40,32,2,7
0,417,50,30,2,6
1,407,70,8,1,2
0,1540,21,8,1,3
0,170,46,42,2,2
0,2078.679,22,54,3,4
0,87,18,4,0,7
1,1055,37,16,1,4
1,1320,74,16,2,2
1,408,48,182,7,5
0,150,25,14,0,3
1,833.18,37,36,2,6
1,1870,45,74,2,5
1,512,71,6,1,2
1,142,43,14,1,2
1,780,37,36,2,4
1,171.261,36,36,2,4
1,660,61,28,2,3
1,706.014,48,28,2,6
0,2700,67,18,1,2
0,300,75,6,0,1
1,3676.54,40,6,2,5
1,218,29,6,2,2
1,2180,48,30,2,3
1,1600,42,46,2,10
1,700,75,12,1,1
1,479,60,56,2,5
0,260,43,7,1,11
1,146,59,26,1,1
1,3339.411,29,18,1,5
1,1741.413,46,36,2,4
1,552.866,40,46,2,7
1,310,52,20,2,3
0,350,33,11,0,8
0,551,26,3,0,3
1,1797.287,53,30,2,2
1,1417,50,26,2,3
1,240,26,28,2,4
1,2100,69,16,4,2
1,2350,28,34,2,2
1,960,22,44,1,1
0,1474,34,48,2,6
1,2269,49,20,2,2
0,219,55,18,2,6
1,213,43,32,2,4
1,803,36,38,2,4
1,980,62,42,3,3
1,759.933,75,17,1,2
0,462,60,24,2,3
0,480,38,20,0,9
1,1100,60,120,3,3
1,1350,58,18,2,3
1,480,46,36,2,5
1,789,62,92,2,2
0,328,16,22,2,5
0,296,27,21,0,4
1,100,51,50,2,3
1,1369,27,11,1,5
0,300,39,14,0,12
0,180,50,32,2,4
1,450,25,26,2,2
1,1400,46,12,2,6
1,1058.004,60,50,2,4
1,2760,72,18,3,3
1,468,37,42,2,5
0,600,40,23,1,4
1,2549.647,42,26,2,4
1,251,54,90,3,5
1,473,40,17,1,1
1,540,56,34,2,5
1,427,43,30,2,5
1,1701.694,23,24,3,3
0,60,42,17,1,7
1,612,49,60,2,4
1,1533.661,54,75,3,5
1,600,56,13,1,3
1,142,55,26,2,1
1,420,61,27,3,4
1,298,42,90,3,7
1,250,41,16,2,4
1,326,36,12,1,1
0,320,75,14,1,2
1,2008,62,48,3,4
1,382.498,59,50,2,3
1,240,44,44,2,7
1,3204,54,26,2,3
1,702.678,57,51,3,5
0,15,23,11,0,5
1,699,40,12,2,2
1,1250,46,16,2,4
0,600,35,13,1,1
1,550,47,20,2,5
0,1005,62,21,1,2
1,450,60,12,1,2
1,1355,25,32,2,5
1,3620,68,26,2,3
1,720.867,24,69,3,11
1,94.00002,48,42,2,4
1,1093,56,46,2,5
1,2467,45,22,2,5
1,860.954,56,42,3,3
1,2300,64,120,3,4
1,1817,27,12,2,5
1,272.16798,52,69,3,6
1,1236.591,45,30,2,3
1,2838,43,36,4,3
1,1500,36,18,2,4
1,1082,59,11,1,2
1,1041,32,9,1,5
1,981,40,24,1,3
1,350,47,28,2,4
1,300,40,34,2,4
1,1489,72,8,1,2
1,2300,70,30,3,4
1,750,58,8,1,1
1,1029,37,20,2,4
0,1083,94,6,0,3
1,2717,24,19,1,1
1,1561,65,17,1,1
1,1219,26,22,1,1
1,1037,60,32,2,2
1,504.481,48,24,2,4
1,3990.482,28,8,1,2
1,1618,25,32,2,4
0,361,44,42,2,4
0,360,26,17,0,6
0,580,33,18,1,4
1,43.00002,30,18,2,4
1,1563,39,18,1,4
1,350.353,27,23,1,4
1,589,55,12,1,1
1,3453,31,8,2,2
1,3841.545,36,78,6,8
1,180,26,48,2,7
1,4929.897,73,28,2,3
1,260,57,22,2,2
0,400.279,33,11,1,1
0,43.00002,63,32,2,2
1,700,45,44,2,6
1,1332,29,18,2,4
1,1664,40,20,1,3
1,240,17,57,3,5
1,515,70,18,2,2
1,180.262,26,46,1,1
0,480,25,6,1,2
0,600,79,12,1,1
0,173,45,28,2,5
0,945,25,22,0,4
1,300,37,44,2,4
1,1020,52,60,3,2
1,860,38,14,1,8
1,2324,48,12,2,5
1,420,34,64,2,2
0,300,64,8,0,2
1,557,42,40,2,5
0,120,49,16,2,5
1,215.003,59,54,3,3
1,1620,22,24,3,6
0,318,60,9,1,1
1,1315.097,47,21,1,3
1,200,23,42,2,3
0,684,25,9,0,1
1,383.068,36,78,6,8
1,363.979,23,63,3,4
1,657,27,94,2,2
1,350,46,16,2,4
1,2220,43,5,1,3
1,2341,66,30,2,2
1,4756,48,44,2,2
1,2040,30,6,2,2
0,360,59,4,1,2
1,10264,55,8,2,3
1,200,45,24,1,4
1,1140,23,30,3,5
1,1400,66,21,3,3
1,495,36,40,2,4
1,840,64,12,2,2
1,210,45,31,1,1
1,240,30,14,2,5
0,589.829,16,39,1,6
1,1659.678,43,26,2,6
1,1916.34,40,28,2,4
1,1006,67,40,2,2
1,3694,53,12,3,4
0,679.356,65,40,2,3
1,548,45,68,2,5
1,660,40,42,3,4
1,432.907,49,29,1,4
1,149,29,70,2,4
1,323,32,16,2,2
1,689,42,30,2,5
1,1682.907,40,46,2,7
0,300,48,17,1,4
1,366,72,22,2,3
1,289,36,38,2,5
0,1020,42,7,0,5
1,1200,59,14,2,2
0,1034,65,15,3,2
1,2360,44,34,2,4
1,1705,61,12,1,1
1,872,36,22,2,3
1,120,60,30,2,4
0,900,42,32,2,7
1,327,25,17,1,6
1,1940.043,64,11,1,2
1,2150,27,40,2,5
0,300,59,28,2,5
1,2257,65,16,2,2
1,1020,70,44,4,4
1,748.518,23,48,3,3
1,414.934,50,36,2,4
1,186,44,12,2,7
1,7200,51,14,1,3
1,308,25,54,0,1
0,780,58,20,2,2
1,926,23,22,2,3
1,276,53,78,2,3
1,660,38,24,2,7
1,2700,55,21,3,4
1,266,36,40,2,4
0,320,42,6,1,5
1,3101.768,27,72,2,3
1,1761,48,42,2,5
1,1140,61,24,2,3
1,1500,48,10,2,3
1,1741,29,36,3,3
1,768.666,38,25,1,4
1,300,57,32,2,2
0,600,67,4,1,2
1,250,26,11,1,2
1,538,36,38,2,6
1,541,48,20,1,1
0,360,43,30,2,4
1,1226,38,19,1,6
1,1350,37,14,2,2
1,150,47,42,2,6
1,4209.897,50,24,3,5
1,499.793,42,32,2,5
1,833,48,36,2,5
0,240,34,52,4,7
1,240,40,27,3,5
0,717.151,25,42,3,6
1,200,43,36,2,4
0,288.67,44,86,2,4
1,492.838,31,36,2,4
0,197,35,28,2,3
1,4822.324,32,42,2,4
1,808,50,44,2,4
1,697.47,28,32,2,1
0,300,35,16,2,2
1,2400,59,22,2,4
1,240,41,50,2,7
1,2900,52,26,2,4
1,180,43,16,2,6
1,660,53,22,2,4
0,219,55,18,2,6
0,540,26,12,2,4
1,128,67,46,2,2
1,2351,53,36,4,4
1,420,46,30,2,4
0,752,69,18,1,3
1,110.376,33,18,2,4
0,1188.944,42,12,1,5
1,1162,55,18,2,4
1,1348.466,56,39,3,4
1,1200,44,44,2,5
1,5580,47,12,2,5
1,480,40,28,2,4
1,700,44,18,1,1
1,200,39,42,1,4
1,780,55,20,2,4
0,168,32,12,2,3
0,279,57,32,2,3
1,1477,30,11,1,3
1,2385,24,22,2,2
1,435.9,52,28,2,3
1,2334.014,54,46,2,4
1,367.033,47,32,2,5
1,273,46,106,2,4
1,400,60,120,3,3
1,2353.98192,50,34,2,4
1,1000,40,23,1,5
1,434.482,35,16,2,6
1,209,58,40,2,2
0,364,50,40,4,4
1,1018,48,42,2,4
0,900,17,12,2,5
1,780,31,30,1,8
1,634,38,20,2,1
1,300,40,26,2,4
1,565,26,27,3,3
1,670.445,54,16,2,3
1,1235,38,20,2,5
1,751,61,24,3,2
1,465,55,12,1,2
0,105.057,43,28,2,5
1,300,53,18,2,3
1,660,43,34,2,5
1,500,45,14,1,5
1,400,79,16,1,1
1,2520,60,10,2,2
1,576.589,36,26,1,4
1,1644,45,52,2,4
1,275.54,52,45,3,4
1,493,42,18,2,3
1,650,83,13,1,2
1,1320,30,12,2,2
1,720,41,22,2,4
0,600,36,20,2,6
0,215,56,42,2,3
1,3415,41,19,1,5
1,1148,33,28,2,2
1,540,38,28,2,5
1,2120,56,28,2,4
0,384,41,17,1,5
0,480,57,22,2,2
1,300,82,19,1,1
1,1156,37,22,2,5
1,750,66,26,2,2
0,7622,18,26,2,4
1,88.99998,45,32,1,6
1,923,49,36,3,3
0,93,41,6,1,4
1,252.817,22,54,3,4
1,1200,40,32,2,4
1,980,60,16,2,2
1,466,41,28,2,4
1,850,31,9,1,1
0,129,28,19,1,1
1,174,44,24,2,5
1,1832.597,49,60,3,5
1,600,69,8,1,2
1,360,36,38,2,6
0,229,58,30,2,3
1,468.651,32,108,3,3
0,126,26,12,1,1
1,5100,28,8,1,3
1,1500,53,18,2,2
1,4972,39,38,2,6
1,4315,36,14,2,4
1,660,58,33,3,6
1,322.244,39,32,2,5
0,500,36,18,0,10
0,127,37,26,2,3
1,800,51,28,2,2
1,1111.74,60,12,2,2
1,340,47,40,2,5
0,1094.699,23,36,3,4
1,1217.121,27,90,3,11
1,300,39,16,2,5
0,732,58,9,1,2
1,1228,33,18,2,3
0,1323.051,27,11,0,2
1,1571.593,52,64,4,6
1,433,45,74,2,5
1,461,53,36,3,5
1,336,41,23,1,6
1,2817.488,45,12,1,5
1,27,32,76,2,2
1,360,40,25,1,3
1,998.515,37,54,2,4
1,3100,43,50,2,5
1,5892,60,40,1,1
1,721,68,22,2,2
1,900,71,22,1,2
1,761,53,18,2,2
1,21.72312,41,17,1,6
1,140,72,46,2,2
1,304,27,20,4,4
1,317,60,13,1,5
0,300,34,13,0,7
1,1259,62,36,3,3
0,2189,23,7,0,4
1,2160,54,9,3,5
1,451,57,12,1,2
1,720,65,18,2,2
1,239,56,32,2,2
0,942,44,14,1,1
0,384,29,60,4,8
1,2100,38,6,2,4
0,900,46,15,1,4
1,900,60,33,3,3
0,840,70,8,1,2
1,900,56,20,1,3
1,82.00002,26,19,1,1
0,127,25,10,0,1
1,1169.709,48,12,1,4
1,1333,82,10,1,2
1,250,39,26,2,6
0,1200,59,10,1,3
1,1140,45,18,2,8
0,270,75,10,0,1
1,3420,76,22,2,2
0,900,47,21,0,1
1,400,41,74,2,5
0,240,51,12,0,1
1,245.572,37,54,2,4
0,859.888,64,44,2,2
1,1059,49,60,2,4
1,4964,40,12,2,5
1,2580,56,12,2,4
1,2417.341,50,22,2,3
1,2534.596,47,23,1,5
1,316,44,33,3,5
1,6980,43,34,2,5
1,2290,46,42,2,2
1,1900,42,22,2,6
1,595,36,38,2,4
1,1901,33,40,2,4
1,2000,31,41,1,5
0,719,30,13,1,6
1,951,39,9,1,4
1,232.233,38,44,2,5
1,660,48,20,1,7
1,1700,76,24,1,2
0,121,52,7,1,3
1,800,28,13,1,6
1,658,42,20,2,4
1,556.607,40,28,1,6
1,214.888,58,42,2,4
0,638,70,30,2,3
1,1350,57,27,1,2
1,1750,37,10,2,3
1,463,48,20,2,5
0,300,42,32,4,5
1,1150,46,22,2,10
1,6,38,22,2,4
0,180,48,19,1,2
1,2160,70,18,2,4
1,1380,43,13,1,6
1,2037.494,19,21,1,6
1,1122,34,10,2,3
0,386,69,16,4,2
1,740,39,29,1,5
1,3900,42,46,2,6
1,2478,31,24,2,3
1,300,43,32,2,4
0,714,44,5,1,4
1,1740,50,8,2,5
1,60,80,48,2,2
1,209,58,24,2,3
1,212,38,20,2,5
1,1234,62,48,3,3
1,60,40,12,2,6
0,545,22,8,0,1
1,1877,18,21,3,3
0,42.38298,35,20,2,4
0,360,42,8,0,7
1,1360,35,29,1,5
1,273,48,182,7,5
1,360,46,30,2,4
1,2934.314,35,26,2,5
1,180,39,21,1,5
0,1318,29,24,2,2
1,550,29,38,2,2
1,729,60,33,3,4
0,1077.867,42,27,1,4
1,1500,28,24,4,4
0,260,52,12,0,3
1,3174,50,96,4,5
1,1228,50,50,2,4
1,700,68,18,2,2
0,137,21,10,0,1
1,464,67,20,2,2
1,1318,46,10,2,5
0,300,50,12,0,8
1,2540,70,40,2,3
1,1284,40,20,2,5
1,1500,65,5,1,2
1,600,30,14,1,3
0,1062,21,7,0,1
1,91.00002,72,6,1,2
0,540,85,3,0,2
1,2540,20,16,2,3
1,600,67,14,2,2
1,764,45,28,2,5
1,821,48,20,2,5
1,922,38,5,1,4
0,720.09,66,15,1,2
0,291.973,20,11,1,2
1,173,41,15,1,4
1,660,66,13,1,2
1,322.776,50,40,2,2
1,692,52,22,2,4
1,855,47,24,2,3
1,4920,38,20,2,5
1,2513.962,44,12,2,3
0,444.65,42,32,2,2
1,1692.672,45,66,2,5
1,400,40,12,1,5
0,96,52,39,3,5
1,174.767,45,60,3,5
1,258.318,22,26,2,5
0,500.691,20,8,1,5
1,365,50,16,2,2
0,395,28,19,1,1
0,600,29,34,2,4
0,420,65,42,3,7
1,1140,47,8,1,4
1,655.996,50,34,2,4
1,60,38,14,1,4
1,360,39,32,2,7
1,382,53,57,3,7
1,231.028,22,48,3,3
1,287.216,52,22,2,4
1,3517,52,38,2,3
0,560,20,5,0,5
1,960,35,62,0,7
0,149,29,12,0,8
1,709,40,28,2,5
0,191,26,30,0,5
1,931,50,26,2,4
1,1755,53,16,2,2
0,720,31,16,1,2
1,650,34,80,4,7
1,250,31,27,1,5
1,3000,46,33,3,4
1,360,42,78,3,5
1,1080,35,17,1,4
1,221,44,20,2,4
1,858,45,24,1,4
1,2800,66,28,2,2
1,496.005,38,46,2,4
1,2133.892,53,28,2,3
1,540,43,9,1,4
1,1244,23,8,1,3
1,2426,67,26,2,4
1,1284,20,26,2,3
1,697,73,5,1,2
1,2370,44,66,2,6
1,1631,42,12,1,1
1,620,67,14,2,2
1,1020,37,26,1,5
1,240,24,11,1,3
1,169,50,12,2,6
1,800,24,17,1,4
1,157.997,38,9,1,2
0,174,58,7,0,2
0,1269,21,10,0,1
1,250,76,12,1,2
1,6780,35,20,2,4
1,1292,50,6,2,3
1,1694,42,90,3,7
1,3600,75,14,1,2
1,1897,64,26,2,2
1,2550,50,28,4,4
1,1021,48,34,2,5
1,2542,56,22,2,3
0,287.61,18,36,2,7
1,1345,25,8,1,2
1,1680,51,32,2,4
0,89.14398,34,11,1,3
1,124.806,47,78,3,5
1,249.888,35,38,2,5
0,127,40,20,2,6
1,750,60,120,3,3
1,1200,47,6,1,5
1,3000,38,12,2,5
1,487,49,7,1,3
1,1970,63,50,2,2
1,485,41,18,2,5
0,660,42,10,1,10
0,245,68,14,2,2
1,1863,43,32,2,4
1,461,36,18,2,4
1,1759.565,64,23,1,2
1,150,49,23,1,7
1,520,37,30,2,6
1,300,65,42,2,2
0,296,16,15,1,5
1,1440,52,48,2,4
1,2193.298,19,21,1,6
1,819,20,32,2,2
1,2100,42,33,3,3
1,185,37,34,2,5
